filename,xmin,ymin,xmax,ymax,class
Image_111.jpg,356,165,416,257,2
Image_111.jpg,369,56,416,132,2
Image_111.jpg,260,124,355,247,2
Image_111.jpg,200,144,256,210,2
Image_111.jpg,128,188,202,276,2
Image_111.jpg,129,110,198,179,2
Image_111.jpg,195,64,246,140,2
Image_111.jpg,252,62,297,123,2
Image_111.jpg,87,0,173,104,2
Image_111.jpg,295,335,408,416,2
Image_111.jpg,190,327,290,416,2
Image_111.jpg,0,111,117,195,2
Image_111.jpg,0,8,79,101,2
Image_111.jpg,6,352,51,416,1
Image_111.jpg,56,344,183,416,1
Image_111.jpg,19,292,160,335,1
Image_111.jpg,183,12,290,55,1
Image_109.jpg,2,0,56,81,1
Image_109.jpg,0,83,48,202,1
Image_109.jpg,53,119,104,178,1
Image_109.jpg,58,19,142,112,1
Image_109.jpg,215,1,292,28,1
Image_109.jpg,295,368,370,416,2
Image_109.jpg,175,353,270,412,2
Image_109.jpg,7,332,107,416,2
Image_109.jpg,0,276,68,330,2
Image_109.jpg,0,203,113,275,2
Image_109.jpg,59,178,104,198,2
Image_109.jpg,173,260,315,332,2
Image_109.jpg,212,209,278,260,2
Image_109.jpg,155,127,280,206,2
Image_109.jpg,317,220,412,276,2
Image_109.jpg,361,166,416,211,2
Image_109.jpg,281,188,353,223,2
Image_109.jpg,286,95,414,168,2
Image_109.jpg,298,2,404,87,2
Image_109.jpg,210,34,280,121,2
Image_706.jpg,2,369,102,416,2
Image_706.jpg,105,372,212,416,2
Image_706.jpg,34,286,174,357,2
Image_706.jpg,203,0,275,125,2
Image_706.jpg,96,0,195,42,2
Image_706.jpg,98,42,188,115,2
Image_706.jpg,144,123,184,154,2
Image_706.jpg,34,70,94,149,2
Image_706.jpg,100,119,144,152,2
Image_706.jpg,34,155,117,280,2
Image_706.jpg,330,181,412,327,2
Image_706.jpg,316,108,396,171,2
Image_706.jpg,7,0,53,36,1
Image_706.jpg,0,42,21,84,1
Image_706.jpg,0,151,30,310,1
Image_706.jpg,178,294,236,354,1
Image_706.jpg,185,198,256,288,1
Image_706.jpg,119,175,177,269,1
Image_706.jpg,320,0,401,37,1
Image_706.jpg,325,37,404,104,1
Image_706.jpg,334,336,416,412,1
Image_706.jpg,285,298,331,416,1
Image_706.jpg,229,354,279,414,1
Image_1304.jpg,173,0,241,87,1
Image_1304.jpg,49,0,160,66,1
Image_1304.jpg,131,301,219,414,1
Image_1304.jpg,3,295,121,410,1
Image_1304.jpg,2,229,151,292,1
Image_1304.jpg,0,164,46,229,1
Image_1304.jpg,2,0,42,159,1
Image_1304.jpg,159,220,244,299,1
Image_1304.jpg,138,91,210,213,1
Image_1304.jpg,317,0,415,29,2
Image_1304.jpg,330,29,416,109,2
Image_1304.jpg,265,61,330,156,2
Image_1304.jpg,348,130,405,151,2
Image_1304.jpg,333,163,410,270,2
Image_1304.jpg,255,160,331,300,2
Image_1304.jpg,228,374,325,413,2
Image_1304.jpg,338,376,388,415,2
Image_1304.jpg,372,276,414,353,2
Image_1304.jpg,251,305,333,369,2
Image_1304.jpg,340,276,361,352,2
Image_1304.jpg,61,68,117,203,2
Image_110.jpg,0,0,87,119,2
Image_110.jpg,0,135,29,170,2
Image_110.jpg,229,372,322,416,2
Image_110.jpg,119,359,169,414,2
Image_110.jpg,119,236,244,302,2
Image_110.jpg,170,163,246,232,2
Image_110.jpg,122,106,196,160,2
Image_110.jpg,215,1,316,77,2
Image_110.jpg,155,305,206,355,2
Image_110.jpg,0,199,66,305,1
Image_110.jpg,0,307,61,349,1
Image_110.jpg,34,353,111,414,1
Image_110.jpg,129,3,204,97,1
Image_110.jpg,327,0,387,41,1
Image_110.jpg,259,80,376,167,1
Image_110.jpg,255,169,353,229,1
Image_110.jpg,246,233,336,325,1
Image_110.jpg,326,383,415,416,1
Image_110.jpg,177,356,225,413,1
Image_110.jpg,80,300,145,349,1
Image_110.jpg,324,48,364,75,1
Image_110.jpg,257,327,312,368,1
Image_1003.jpg,318,318,416,411,2
Image_1003.jpg,332,233,412,316,2
Image_1003.jpg,354,122,414,225,2
Image_1003.jpg,373,0,416,113,2
Image_1003.jpg,0,0,44,149,1
Image_1003.jpg,48,1,201,149,1
Image_1003.jpg,1,150,188,246,1
Image_1003.jpg,0,247,130,409,1
Image_1003.jpg,131,249,224,413,1
Image_1003.jpg,225,245,295,312,1
Image_1003.jpg,195,152,315,235,1
Image_1003.jpg,206,0,336,144,1
Image_1006.jpg,2,369,102,416,2
Image_1006.jpg,105,372,212,416,2
Image_1006.jpg,34,286,174,357,2
Image_1006.jpg,203,0,275,125,2
Image_1006.jpg,96,0,195,42,2
Image_1006.jpg,98,42,188,115,2
Image_1006.jpg,144,123,184,154,2
Image_1006.jpg,34,70,94,149,2
Image_1006.jpg,100,119,144,152,2
Image_1006.jpg,34,155,117,280,2
Image_1006.jpg,330,181,412,327,2
Image_1006.jpg,316,108,396,171,2
Image_1006.jpg,7,0,53,36,1
Image_1006.jpg,0,42,21,84,1
Image_1006.jpg,0,151,30,310,1
Image_1006.jpg,178,294,236,354,1
Image_1006.jpg,185,198,256,288,1
Image_1006.jpg,119,175,177,269,1
Image_1006.jpg,320,0,401,37,1
Image_1006.jpg,325,37,404,104,1
Image_1006.jpg,334,336,416,412,1
Image_1006.jpg,285,298,331,416,1
Image_1006.jpg,229,354,279,414,1
Image_101.jpg,4,0,132,130,1
Image_101.jpg,0,134,118,262,1
Image_101.jpg,0,266,132,413,1
Image_101.jpg,136,267,277,410,1
Image_101.jpg,122,134,269,261,1
